"ccq_builds_in_sonar_period","sonar_start_date","sonar_end_date","sonar_duration","project","median_bugs","median_vulnerabilities","median_code_smells","median_sqale_index","median_sqale_ratio","median_duplicated_lines_density","median_coverage","median_ncloc","last_ncloc","max_ncloc","median_bugs_density","median_vulnerabilities_density","median_code_smells_density","commits_in_sonnar_period","commits_per_day","commits_per_day_density","commits_total_activity_days","median_ci_time_running","max_ci_time_running","median_ci_duration","max_ci_duration","median_ci_time_to_fix","max_ci_time_to_fix","ci_builds_failures","ci_builds_in_sonar_period","ci_builds_total_activity_days","ccq_ratio_updated","ci_activity"
128,"2018-08-03T16:38:33+0200","2019-07-29T23:48:59+0200",360,"KengoTODA/javadocky",0,0,6,40,0.2,0,49,745,745,745,0,0,0.00805369127516779,0,0,0,0,180,565,179,565,490133,1364524,13,228,64,0.56140350877193,0.177777777777778
136,"2018-12-25T11:13:21+0100","2019-07-20T17:26:00+0200",207,"metamug/mason",3,0,143,1688,1.9,0.7,36.4,2949,2949,2949,0.00101763907734057,0,0.0488466757123474,0,0,0,0,144.5,409,144,409,20363,170219,23,270,70,0.503703703703704,0.338164251207729
112,"2017-09-15T15:37:28+0200","2019-06-20T11:41:46+0200",642,"CJSCommonPlatform/artemis-manager",0,1,15.5,260,0.7,4.6,66.1,1207.5,1867,1867,0,0.000828181348052899,0.0133071077618213,0,0,0,0,213,937,213,937,319,2501838,33,176,28,0.636363636363636,0.043613707165109
104,"2019-02-24T02:12:12+0100","2019-07-19T11:19:36+0200",145,"wz2cool/mybatis-dynamic-query",0,0,0,0,0,0.6,96.9,1896,2135,2135,0,0,0,0,0,0,0,112,220,112,220,10532,125102,25,104,27,1,0.186206896551724
112,"2018-09-25T16:22:19+0200","2019-07-16T11:14:27+0200",293,"hmcts/feature-toggle-api",0,0,2,10,0.1,0,90.6,593,593,593,0,0,0.00337268128161889,0,0,0,0,244,570,241,570,1467.5,2085,2,166,46,0.674698795180723,0.156996587030717
48,"2019-05-23T03:41:41+0200","2019-07-24T06:16:03+0200",62,"tsantos84/serializer",0,0,12,203,0.2,0,85.1,3175,3175,3175,0,0,0.00377952755905512,0,0,0,0,368,595,524,772,759,605084,7,54,15,0.888888888888889,0.241935483870968
40,"2019-06-16T16:38:03+0200","2019-06-19T02:05:07+0200",2,"c2v4/greenery",0,0,15,149,0,2.3,81.8,17849,17779,17779,0,0,0.000843691996175263,0,0,0,0,462.5,644,457,644,4867,9730,6,42,3,0.952380952380952,1.5
64,"2019-05-30T10:10:27+0200","2019-07-27T03:19:21+0200",57,"imageworks/OpenColorIO",77,0,9274.5,49068,2,8.8,80.6,82146,84033,84033,0.000937355440313588,0,0.113022836607378,0,0,0,0,2837,7858,5053,5506,4235,80612,7,86,20,0.744186046511628,0.350877192982456
72,"2019-06-10T14:04:28+0200","2019-07-22T20:07:58+0200",42,"Diplomatiq/crypto-random",0,0,0,0,0,0,100,291,291,291,0,0,0,0,0,0,0,91,252,164,342,0,0,1,75,16,0.96,0.380952380952381
128,"2019-03-19T14:51:44+0100","2019-07-29T10:05:09+0200",131,"indigo-iam/iam",0,0,293,10799,1.2,2.6,84.7,29489,29489,29489,0,0,0.00993590830479162,0,0,0,0,679,1205,679,1205,72092,173160,41,223,128,0.573991031390135,0.977099236641221
104,"2019-05-23T17:07:52+0200","2019-07-19T12:31:19+0200",56,"chaturanga50/opsworks-cli",0,0,0,0,0,0,79.6,542,542,542,0,0,0,0,0,0,0,142.5,452,372,1053,404,166960,21,109,12,0.954128440366973,0.214285714285714
40,"2019-03-23T22:32:26+0100","2019-06-15T19:08:59+0200",83,"enriqzAlejandro/ludis-backend",0,0,2,20,0,0.4,37.9,3489,3510,3510,0,0,0.00057323015190599,0,0,0,0,75,267,75,267,NULL,NULL,0,53,14,0.754716981132076,0.168674698795181
80,"2018-11-15T02:51:21+0100","2019-06-15T11:45:01+0200",212,"yourtion/node-erest",0,0,0,0,0,0,95.5,2073.5,2113,2113,0,0,0,0,0,0,0,297,1790,615,981,98958.5,1716455,14,106,61,0.754716981132076,0.287735849056604
88,"2018-12-02T19:00:12+0100","2019-06-14T19:09:15+0200",193,"gruelbox/dropwizard-https-redirect",0,0,0,0,0,0,82.3,361,361,361,0,0,0,0,0,0,0,118,366,128,464,112,327494,8,105,20,0.838095238095238,0.103626943005181
72,"2019-03-23T21:11:08+0100","2019-07-15T18:35:52+0200",113,"phantauth/phantauth-service",0,0,20,596,0.3,0,69.1,5743,5936,5936,0,0,0.00336927223719677,0,0,0,0,195,369,195,369,13038.5,20675,14,103,16,0.699029126213592,0.141592920353982
120,"2019-04-24T05:33:04+0200","2019-06-14T05:32:01+0200",50,"max-cong/medis",0,0,0,0,0,1.2,52.65,3732.5,4372,4372,0,0,0,0,0,0,0,167,311,166,311,1885,260306,40,178,25,0.674157303370786,0.5
144,"2018-12-29T18:34:59+0100","2019-06-12T20:30:13+0200",165,"sonar-perl/sonar-perl",0,0,16,100,0.2,0,92.4,2016.5,2063,2063,0,0,0.00776322173702086,0,0,0,0,375,1057,369,1057,1316.5,5404308,47,167,19,0.862275449101796,0.115151515151515
24,"2019-06-11T18:19:21+0200","2019-07-22T08:22:43+0200",40,"samueldple/datetimekt",0,0,0,0,0,0,92.3,585,585,585,0,0,0,0,0,0,0,190,390,190,390,NULL,NULL,0,29,4,0.827586206896552,0.1
96,"2018-12-06T14:00:11+0100","2019-06-11T13:08:44+0200",186,"nut-tree/nut.js",0,0,4,45.5,0.1,0,92.6,1591,1837,1837,0,0,0.00381056069678824,0,0,0,0,255,541,255,541,316,427006,19,135,26,0.711111111111111,0.139784946236559
40,"2019-05-18T19:35:02+0200","2019-06-08T21:51:53+0200",21,"Raffaello/board-m-n-k",0,0,43,64,0.1,0,66.1,1972,1972,1972,0,0,0.0164348925410872,8,0.380952380952381,0.000193180720564088,2,328.5,554,323,554,89880,197792,20,59,13,0.677966101694915,0.619047619047619
48,"2019-04-18T20:35:44+0200","2019-06-05T12:14:07+0200",47,"bazo-blockchain/bazo-vm",0,0,9.5,612,1.1,6.9,71.6,1915.5,1968,1968,0,0,0.00496197770448908,44,0.936170212765957,0.000488734123083246,18,92,178,92,178,675,675,1,74,19,0.648648648648649,0.404255319148936
112,"2018-11-19T13:53:21+0100","2019-06-04T20:23:28+0200",197,"rmaqueda/OpenWeather",0,0,2,10,0,0,61.8,717,717,717,0,0,0.0027027027027027,142,0.720812182741117,0.00100531685180072,8,217,436,212,436,755,1187303,37,169,11,0.662721893491124,0.0558375634517767
120,"2019-02-28T10:58:17+0100","2019-06-04T10:33:58+0200",95,"Jakeeyturner/blockchain-vscode-extension",6,0,21,79,0,3.1,0,7760,7760,7760,0.00077319587628866,0,0.00270618556701031,274,2.88421052631579,0.000371676614215952,54,984.5,2671,2372,3472,5373,1575720,69,189,41,0.634920634920635,0.431578947368421
32,"2018-10-24T19:22:06+0200","2019-06-03T23:19:54+0200",222,"TransbankDevelopers/transbank-sdk-python",0,0,2,40,0.4,0,98.4,335,355,355,0,0,0.00597100054362841,21,0.0945945945945946,0.000282371924162969,7,203,3024,261,440,336583,336583,2,34,8,0.941176470588235,0.036036036036036
40,"2019-04-17T13:52:31+0200","2019-06-01T19:19:53+0200",45,"jsulpis/java-study",0,0,0,0,0,0,98,685,717,717,0,0,0,30,0.666666666666667,0.00097323600973236,12,156,216,156,216,85561,344040,10,53,12,0.754716981132076,0.266666666666667
72,"2019-03-29T19:04:30+0100","2019-06-01T01:01:50+0200",63,"svstoll/cscc-recommender",0,0,0,0,0,0,13.8,1705,2080,2080,0,0,0,35,0.555555555555556,0.000325839035516455,11,126,338,126,338,950,1085,4,120,17,0.6,0.26984126984127
240,"2019-01-18T08:57:10+0100","2019-05-24T02:36:00+0200",125,"famaridon/redmine-ng-api",3,0,41,390,0.2,0,37.5,6663,6825,6825,0.000488997555012225,0,0.00600732600732601,263,2.104,0.000315773675521537,41,369,959,368.5,959,3435.5,412050,30,256,117,0.9375,0.936
144,"2018-01-24T03:57:30+0100","2019-07-12T19:55:22+0200",534,"Unidata/rosetta",43.5,28,443.5,3280,1.3,2.85,22.2,8984,8000,8000,0.005479014749258,0.00307824774532522,0.051796697960505,917,1.71722846441948,0.000191142972442061,106,231,765,231,765,14961,2334293,43,153,56,0.941176470588235,0.104868913857678
32,"2019-05-12T10:23:43+0200","2019-05-19T08:30:49+0200",6,"jinahya/jinahya-springframework",0,0,15,165,0.85,0,86.3,660,624,624,0,0,0.0226928895612708,20,3.33333333333333,0.00505050505050505,4,110,143,110,143,NULL,NULL,0,36,4,0.888888888888889,0.666666666666667
32,"2019-01-18T20:42:58+0100","2019-07-26T11:33:29+0200",188,"vierbergenlars/plugin-updates-gradle-plugin",0,0,35,246,0.35,0,73.7,2311,2317,2317,0,0,0.0151450609800054,30,0.159574468085106,6.90499645543515e-05,8,399,1104,399,1104,1193,46145,6,32,8,1,0.0425531914893617
32,"2019-04-29T20:08:53+0200","2019-07-14T15:55:31+0200",75,"ddaninthe/botgether",0,0,5,87.5,0.3,0.85,76.75,1089,1664,1664,0,0,0.00608842167773005,34,0.453333333333333,0.000416284052647689,18,208.5,325,208.5,325,999,50099,6,52,19,0.615384615384615,0.253333333333333
128,"2018-04-25T12:05:45+0200","2019-07-26T14:05:29+0200",457,"camel-tooling/camel-lsp-client-eclipse",0,0,0,0,0,0,67,406,436,436,0,0,0,29,0.0634573304157549,0.000156298843388559,14,221.5,1025,220,1025,217824,2054858,10,135,49,0.948148148148148,0.107221006564551
32,"2018-12-22T16:02:25+0100","2019-05-11T13:02:46+0200",139,"svishnevsky/OpenPDF",0,0,1.5,3,0,0,89.5,1208,1724,1724,0,0,0.00174013921113689,11,0.079136690647482,6.55105055028825e-05,3,146.5,209,146.5,209,3445.5,57960,13,36,2,0.888888888888889,0.0143884892086331
32,"2019-02-15T17:09:59+0100","2019-07-19T19:19:38+0200",154,"gdnsd/gdnsd",0,0,15,210,0,0.1,71,20374,20394,20394,0,0,0.000736232907175391,53,0.344155844155844,1.68919134267127e-05,23,276,613,795,1795,3817,471439,5,50,22,0.64,0.142857142857143
24,"2019-04-23T15:40:11+0200","2019-04-26T13:15:24+0200",2,"galasam/GalaBank",0,0,0,0,0,0,60.6,2509,2566,2566,0,0,0,29,14.5,0.00577919489836588,3,339,716,339,716,NULL,NULL,0,35,3,0.685714285714286,1.5
80,"2018-10-31T15:15:41+0100","2019-04-16T11:58:06+0200",166,"CJSCommonPlatform/framework-domain",1,0,1,20,0.3,0,87.1,236,236,236,0.00423728813559322,0,0.00423728813559322,45,0.271084337349398,0.00114866244639575,11,138,312,137.5,312,5637.5,1193344,4,88,15,0.909090909090909,0.0903614457831325
96,"2018-11-13T03:55:59+0100","2019-04-10T10:26:54+0200",148,"han-feng/cvicse-boot",0.5,1,15.5,64,0.05,1.7,0.25,5269,5269,5269,0.000100401606425703,0.000183752814775137,0.00299995964242911,124,0.837837837837838,0.000159012685108718,59,350.5,697,475.5,699,343387.5,684322,3,118,60,0.813559322033898,0.405405405405405
152,"2019-01-12T01:08:02+0100","2019-07-11T21:11:44+0200",180,"holgern/beem",1,0,392,4147,0.8,1.6,0,17113,17118,17118,5.84351078127739e-05,0,0.0228998714803131,89,0.494444444444444,2.88929144185382e-05,26,1982.5,5462,4455,10640,318420,762127,66,186,42,0.817204301075269,0.233333333333333
24,"2019-03-25T23:38:29+0100","2019-03-29T23:09:35+0100",3,"Gimpneek/snapdex",0,0,2,26,0.2,0,20.2,540,545,545,0,0,0.0037037037037037,16,5.33333333333333,0.00987654320987654,3,91,358,88,358,80840,161484,8,24,3,1,1
80,"2019-01-22T09:28:37+0100","2019-03-24T22:02:53+0100",61,"DaJaime/optidb-server",0,6,23,311,1.5,5.9,12.85,589,781,781,0,0.00768245838668374,0.0344779739667585,94,1.54098360655738,0.002616270978875,29,137,296,136,296,365,405,2,121,31,0.661157024793388,0.508196721311475
72,"2019-01-28T01:24:24+0100","2019-03-24T22:00:40+0100",55,"ChaudhryHaseeb/optidb-client",0,0,6,54,0.4,0,8.5,578,584,584,0,0,0.011986301369863,102,1.85454545454545,0.00320855614973262,27,134,380,134,380,107384,430468,16,109,26,0.660550458715596,0.472727272727273
48,"2019-03-05T17:32:55+0100","2019-03-12T18:15:34+0100",7,"GOBDS/mapfood",2,2.5,12.5,95,0.25,2.15,64.65,1275.5,1762,1762,0.0013788676753427,0.0018981364968172,0.00990275018299697,54,7.71428571428571,0.00604804838438708,6,140,229,140,229,43350.5,63493,29,74,6,0.648648648648649,0.857142857142857
88,"2018-12-13T22:29:58+0100","2019-03-11T20:48:04+0100",87,"ioet/bpm-people-api",1,1,2,20,0.1,0,29.6,649,630,630,0.00154083204930663,0.00134589502018843,0.00280112044817927,58,0.666666666666667,0.00102722136620442,15,238,500,238,500,795,101595,5,113,20,0.778761061946903,0.229885057471264
56,"2019-02-06T00:43:30+0100","2019-03-05T20:57:43+0100",27,"adilsonsilva/autenticacao",0,0,4,12,0.6,0,33.3,159,304,304,0,0,0.0361842105263158,52,1.92592592592593,0.0121127416724901,4,153.5,715,153.5,715,1338,58133,11,66,4,0.848484848484849,0.148148148148148
40,"2018-12-12T11:52:04+0100","2019-02-17T14:17:04+0100",67,"try0/wicket-toastr",5,0,58,3906,4.4,0,86.5,2871,1831,1831,0.00170590242238144,0,0.0197682344921609,46,0.686567164179104,0.000239138684841207,10,104,393,191.5,299,NULL,NULL,0,44,11,0.909090909090909,0.164179104477612
72,"2019-02-01T13:13:44+0100","2019-02-10T18:36:27+0100",9,"coffeenet/coffeenet-starter",3,0,16,249,0.3,0,65,2746,2688,2688,0.0010924981791697,0,0.00579920260964117,44,4.88888888888889,0.00178036740309137,5,193,1580,192.5,1580,NULL,NULL,0,80,5,0.9,0.555555555555556
88,"2018-12-28T15:32:53+0100","2019-01-19T22:47:31+0100",22,"nefarioustim/cerberus-auth",0,0,0,0,0,0,100,556,631,631,0,0,0,85,3.86363636363636,0.00694898626553303,14,235,312,235,312,409.5,597,7,96,14,0.916666666666667,0.636363636363636
40,"2018-12-29T23:53:13+0100","2019-01-17T01:38:28+0100",18,"rfaguiar/livraria-frontend-reactjs",0,0,1,20,0.1,0,97.6,581,959,959,0,0,0.00172117039586919,37,2.05555555555556,0.00353796136928667,11,111,210,111,210,337764,337764,11,45,10,0.888888888888889,0.555555555555556
112,"2018-10-23T19:27:08+0200","2018-11-29T19:49:20+0100",37,"symonk/sylenium",0,1,10,42.5,0.2,0,67.75,641,1154,1154,0,0.00185185185185185,0.0152187348254094,103,2.78378378378378,0.00434287641775941,8,125.5,232,123.5,232,1182,2636,29,114,8,0.982456140350877,0.216216216216216
96,"2018-02-05T19:43:32+0100","2018-04-22T16:03:06+0200",75,"thailekha/dynamic-dockerizer-agent",1,0,1,20,0.1,0,74.75,1311,1312,1312,0.00108660687101331,0,0.00076248581421741,75,1,0.0007627765064836,20,236,876,335.5,2895,1805.5,820513,64,188,21,0.51063829787234,0.28
